the+out+of+towners+1970,FALSE,Comedy,98,7.1,"Español, English"
a+personal+journey+with+martin+scorsese+through+american+movies+1995,FALSE,Documentary,225,8.3,English
the+da+vinci+code+2006,FALSE,"Thriller, Mystery",149,6.5,"English, Français, Latin, Español"
dawn+of+the+dead+1978,FALSE,Horror,127,7.4,English
no+reservations+2007,FALSE,Comedy,104,6.1,English
murder+most+foul+1964,FALSE,"Drama, Thriller, Crime, Mystery, Comedy",90,6.7,English
the+shawshank+redemption+1994,FALSE,"Drama, Crime",142,8.5,English
kirikou+and+the+sorceress+1998,FALSE,"Fantasy, Adventure, Animation, Family",70,7.2,Français
the+vanishing+american+1925,FALSE,Western,110,0,English
big+hero+6+2014,FALSE,"Adventure, Family, Animation, Action, Comedy",102,7.8,English
redirected+2014,FALSE,"Action, Comedy, Crime, Thriller",99,5.7,"Polski, English, Lietuviakai, Pусский"
punks+dead+slc+punk+2+2016,FALSE,Comedy,75,6,
the+amazing+spider-man+2+2014,FALSE,"Action, Adventure, Fantasy",142,6.5,English
shutter+island+2010,FALSE,"Drama, Thriller, Mystery",138,7.8,"English, Deutsch"
the+goonies+1985,FALSE,"Adventure, Comedy, Family",114,7.4,"English, Italiano, Español, 广州话 / 廣州話"
the+lord+of+the+rings+the+fellowship+of+the+ring+2001,FALSE,"Adventure, Fantasy, Action",178,8,English
sorrow+and+joy+2013,FALSE,Drama,107,7.8,Dansk
the+jungle+book+1967,FALSE,"Family, Animation, Adventure",78,7.1,English
lady+chatterleys+lover+1981,FALSE,"Drama, Romance",104,5.4,English
the+kindred+1987,FALSE,"Horror, Science Fiction",91,5.9,English
the+pyx+1973,FALSE,"Crime, Drama, Horror, Thriller",108,5.6,"English, Español"
crimson+rivers+ii+angels+of+the+apocalypse+2004,FALSE,"Action, Thriller, Crime",97,6,"Deutsch, Français, Italiano"
the+black+cauldron+1985,FALSE,Animation,80,6.5,English
my+brother+is+an+only+child+2007,FALSE,Comedy,108,6.7,Italiano
raiders+of+the+lost+ark+1981,FALSE,"Adventure, Action",115,7.7,"English, Español, Deutsch, עִבְרִית, العربية, "
handsome+harry+2009,FALSE,"Crime, Drama",94,5.3,
wilder+napalm+1993,FALSE,"Fantasy, Comedy, Science Fiction, Romance",109,6.5,English
planet+51+2009,FALSE,"Science Fiction, Animation, Family, Comedy, Adventure",91,5.6,"English, Español"
peter+pan+1953,FALSE,"Animation, Music, Family, Adventure, Fantasy",77,7,English
four+lions+2010,FALSE,"Comedy, Crime, Drama",101,7.1,"العربية, English, اردو"
castle+in+the+sky+1986,FALSE,"Adventure, Fantasy, Animation, Action, Family, Romance",124,7.8,日本語
the+white+massai+2005,FALSE,Drama,131,6.4,"English, Deutsch, Kiswahili"
goodfellas+1990,FALSE,"Drama, Crime",145,8.2,"Italiano, English"
weird+woman+1944,FALSE,"Mystery, Thriller",64,6.5,English
the+hobbit+the+battle+of+the+five+armies+2014,FALSE,"Action, Adventure, Fantasy",144,7.1,English
sailor+of+the+king+1953,FALSE,"Action, Drama, War",83,5.5,English
bruce+almighty+2003,FALSE,"Fantasy, Comedy",101,6.4,English
harry+potter+and+the+chamber+of+secrets+2002,FALSE,"Adventure, Fantasy, Family",161,7.4,English
